ID,Incident Number,Incident Date,Age,Sex of Victim,Race of Victim,Injury,Relationship,State,Location
1,CI01XYM9F2 N: ,20020227,04: ,M: Male,W: White,N: None,CH: Victim was Child,14: IA,5: Commercial/Office Building
2,2L-J4KY2KF39: ,20020320,12: ,F: Female,W: White,N: None,RU: Relationship Unknown,14: IA,13: Highway/Road/Alley
3,2L-J4KY2KF39: ,20020320,11: ,F: Female,W: White,N: None,RU: Relationship Unknown,14: IA,13: Highway/Road/Alley
4,2L-J4KY2KF39: ,20020320,14: ,F: Female,W: White,N: None,RU: Relationship Unknown,14: IA,13: Highway/Road/Alley
5,282J42OZXV-A: ,20020131,19: ,F: Female,U: Unknown,N: None,OF: Victim was Other Family Member,14: IA,20: Residence/Home
6,282J42OZXV-A: ,20020131,12: ,F: Female,U: Unknown,N: None,SB: Victim was Sibling,14: IA,20: Residence/Home
7,CI01RVT-T2 N: ,20020102,27: ,F: Female,W: White,M: Apparent Minor Injury,XS: Victim was Ex-Spouse,14: IA,20: Residence/Home
8,CI01RYTLT2 N: ,20020215,16: ,F: Female,W: White,N: None,BG: Victim was Boyfriend/Girlfriend,14: IA,20: Residence/Home
9,CI01RYTM-2 N: ,20020216,18: ,M: Male,W: White,N: None,ST: Victim was Stranger,14: IA,20: Residence/Home
10,T04IA1U72 N: ,20020122,15: ,F: Female,W: White,N: None,OK: Victim was Otherwise Known,14: IA,13: Highway/Road/Alley
11,190MQ-F39D1K: ,20020304,27: ,F: Female,W: White,M: Apparent Minor Injury,SE: Victim was Spouse,14: IA,20: Residence/Home
12,T-1-YB 728N: ,20020303,37: ,F: Female,W: White,M: Apparent Minor Injury,BG: Victim was Boyfriend/Girlfriend,14: IA,20: Residence/Home
13,6S-ID4R6PU72: ,20020203,24: ,F: Female,W: White,N: None,AQ: Victim was Acquaintance,14: IA,20: Residence/Home
14,CI01RVB-FD N: ,20020129,17: ,F: Female,W: White,M: Apparent Minor Injury,ST: Victim was Stranger,14: IA,18: Parking Lot/Garage
15,CI01RVRCS0 N: ,20020310,22: ,F: Female,W: White,M: Apparent Minor Injury,AQ: Victim was Acquaintance,14: IA,14: Hotel/Motel/Etc.
16,601RVSQFU N: ,20020123,63: ,M: Male,W: White,N: None,ST: Victim was Stranger,14: IA,20: Residence/Home
17,T01ROBCSC N: ,20020304,09: ,F: Female,W: White,N: None,OK: Victim was Otherwise Known,14: IA,18: Parking Lot/Garage
18,T01RV3MPU N: ,20020124,29: ,F: Female,W: White,M: Apparent Minor Injury,RU: Relationship Unknown,14: IA,3: Bar/Nightclub
19,T01RVB9QD N: ,20020118,13: ,F: Female,W: White,N: None,ST: Victim was Stranger,14: IA,13: Highway/Road/Alley
20,T6D-H U728N: ,20020111,21: ,M: Male,W: White,M: Apparent Minor Injury,BG: Victim was Boyfriend/Girlfriend,14: IA,13: Highway/Road/Alley
21,223KW5MQ-F39: ,20020220,22: ,F: Female,W: White,M: Apparent Minor Injury,: ,14: IA,13: Highway/Road/Alley
22,223TO5MQ-F39: ,20020221,29: ,M: Male,B: Black,M: Apparent Minor Injury,AQ: Victim was Acquaintance,14: IA,20: Residence/Home
23,5J56X TD1AEM: ,20020318,43: ,F: Female,W: White,N: None,: ,14: IA,13: Highway/Road/Alley
24,6S43Y65HPU72: ,20020306,20: ,F: Female,B: Black,N: None,BG: Victim was Boyfriend/Girlfriend,14: IA,13: Highway/Road/Alley
25,T01ROS-S0 N: ,20020320,00: Unknown,F: Female,W: White,N: None,CH: Victim was Child,14: IA,11: Government/Public Building
26,113BRM2-97 I: ,20020129,19: ,F: Female,W: White,M: Apparent Minor Injury,BG: Victim was Boyfriend/Girlfriend,14: IA,20: Residence/Home
27,T0BRME-72 N: ,20020305,21: ,F: Female,W: White,M: Apparent Minor Injury,SE: Victim was Spouse,14: IA,20: Residence/Home
28,N01RV3QFC N: ,20020202,23: ,M: Male,W: White,M: Apparent Minor Injury,RU: Relationship Unknown,14: IA,20: Residence/Home
29,N01RV3QFC N: ,20020202,18: ,F: Female,W: White,M: Apparent Minor Injury,RU: Relationship Unknown,14: IA,20: Residence/Home
30,N01RVBVGS N: ,20020130,15: ,F: Female,W: White,N: None,AQ: Victim was Acquaintance,14: IA,25: Other/unknown
31,N01RVEV6U N: ,20020228,20: ,M: Male,W: White,N: None,ST: Victim was Stranger,14: IA,13: Highway/Road/Alley
32,T-BIVE 728N: ,20020317,14: ,F: Female,W: White,N: None,CH: Victim was Child,15: KS,20: Residence/Home
33,T-B-Y3 728N: ,20020223,14: ,F: Female,U: Unknown,N: None,ST: Victim was Stranger,15: KS,20: Residence/Home
34,T-1IB5 728N: ,20020301,27: ,M: Male,W: White,N: None,RU: Relationship Unknown,15: KS,5: Commercial/Office Building
35,T-4SWE 728N: ,20020208,45: ,F: Female,W: White,M: Apparent Minor Injury,XS: Victim was Ex-Spouse,15: KS,20: Residence/Home
36,TC1IYSU7 8N: ,20020111,14: ,F: Female,W: White,N: None,AQ: Victim was Acquaintance,15: KS,20: Residence/Home
37,TCBACMU7 8N: ,20020126,41: ,F: Female,W: White,N: None,BG: Victim was Boyfriend/Girlfriend,15: KS,20: Residence/Home
38,TCBAF5U7 8N: ,20020127,40: ,F: Female,W: White,L: Severe Laceration,BG: Victim was Boyfriend/Girlfriend,15: KS,20: Residence/Home
39,TCBRB5U7 8N: ,20020109,14: ,F: Female,W: White,N: None,AQ: Victim was Acquaintance,15: KS,22: School/College
